"Index Num","Country of Origin","Country of Origin-ISO2","Monthly Asylum Data",Year,Month,Age,Sex,"Country of Asylum"
308,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Denmark
309,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Denmark
310,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Denmark
311,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Denmark
312,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Estonia
313,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Estonia
314,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Estonia
315,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Estonia
316,Afghanistan,AF,55,2019,09,"From 14 to 17 years",Females,Greece
317,Afghanistan,AF,110,2019,10,"From 14 to 17 years",Females,Greece
318,Afghanistan,AF,165,2019,11,"From 14 to 17 years",Females,Greece
319,Afghanistan,AF,115,2019,12,"From 14 to 17 years",Females,Greece
320,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Spain
321,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Spain
322,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Spain
323,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Spain
324,Afghanistan,AF,115,2019,09,"From 14 to 17 years",Females,"European Union - 27 countries (from 2020)"
325,Afghanistan,AF,140,2019,10,"From 14 to 17 years",Females,"European Union - 27 countries (from 2020)"
326,Afghanistan,AF,195,2019,11,"From 14 to 17 years",Females,"European Union - 27 countries (from 2020)"
327,Afghanistan,AF,150,2019,12,"From 14 to 17 years",Females,"European Union - 27 countries (from 2020)"
328,Afghanistan,AF,120,2019,09,"From 14 to 17 years",Females,"European Union - 28 countries (2013-2020)"
329,Afghanistan,AF,140,2019,10,"From 14 to 17 years",Females,"European Union - 28 countries (2013-2020)"
330,Afghanistan,AF,195,2019,11,"From 14 to 17 years",Females,"European Union - 28 countries (2013-2020)"
331,Afghanistan,AF,155,2019,12,"From 14 to 17 years",Females,"European Union - 28 countries (2013-2020)"
332,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Finland
333,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Finland
334,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Finland
335,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Finland
336,Afghanistan,AF,5,2019,09,"From 14 to 17 years",Females,France
337,Afghanistan,AF,5,2019,10,"From 14 to 17 years",Females,France
338,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,France
339,Afghanistan,AF,10,2019,12,"From 14 to 17 years",Females,France
340,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Croatia
341,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Croatia
342,Afghanistan,AF,0,2019,11,"From 14 to 17 years",Females,Croatia
343,Afghanistan,AF,0,2019,12,"From 14 to 17 years",Females,Croatia
344,Afghanistan,AF,0,2019,09,"From 14 to 17 years",Females,Hungary
345,Afghanistan,AF,0,2019,10,"From 14 to 17 years",Females,Hungary
